Frameworks,Welch's t-statistic,Welch's p-value,Student's t-statistic,Student's p-value
pytorch vs tensorflow,-30.87292586600497,1.0614598033672728e-27,-30.87292586600497,1.0731415401732543e-37
pytorch vs jax,10.230860461853123,2.812747556390298e-13,10.230860461853123,1.3232050979679901e-14
tensorflow vs jax,36.31762026361692,4.338145043224401e-27,36.31762026361692,1.3740020500837147e-41
